data,tipo,descrizione,importo,store,quantità
2024-07-11,uscita,focaccia farcita,3.35,supermercato da michele,1
2024-07-11,uscita,gastronomia,4.5,supermercato da michele,1
2024-07-11,uscita,busta,0.06,supermercato da michele,1
2024-06-28,uscita,mil mil bs mora musk,2.9,spesi,1
2024-06-28,uscita,nivia deo spr pearl,3.2,spesi,1
